"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2021,12,19,8,55,NA,2.6,5.7,NA,NA,NA,NA,NA,21,NA,20,6.1,NA,NA,2021-12-19 08:55:00
2021,12,19,8,35,300,5.1,11.3,NA,NA,NA,NA,NA,21,NA,20,0.4,NA,NA,2021-12-19 08:35:00
2021,12,19,8,15,NA,6.7,12.9,NA,NA,NA,NA,NA,23,NA,21,7,NA,NA,2021-12-19 08:15:00
2021,12,19,7,55,210,4.1,NA,NA,NA,NA,NA,NA,24,NA,21,8.7,NA,NA,2021-12-19 07:55:00
2021,12,19,7,35,NA,2.6,NA,NA,NA,NA,NA,NA,24,NA,21,8.7,NA,NA,2021-12-19 07:35:00
2021,12,19,7,15,0,NA,5.1,NA,NA,NA,NA,NA,24,NA,20,8.7,NA,NA,2021-12-19 07:15:00
2021,12,19,6,55,220,3.6,NA,NA,NA,NA,NA,NA,24,NA,20,8.7,NA,NA,2021-12-19 06:55:00
2021,12,19,6,35,220,4.1,NA,NA,NA,NA,NA,NA,24,NA,21,8.7,NA,NA,2021-12-19 06:35:00
2021,12,19,6,15,220,3.6,NA,NA,NA,NA,NA,NA,24,NA,21,8.7,NA,NA,2021-12-19 06:15:00
2021,12,19,5,55,NA,3.1,NA,NA,NA,NA,NA,NA,23,NA,22,8.7,NA,NA,2021-12-19 05:55:00
2021,12,19,5,35,NA,3.1,6.2,NA,NA,NA,NA,NA,24,NA,23,7.8,NA,NA,2021-12-19 05:35:00
2021,12,19,5,15,200,5.7,NA,NA,NA,NA,NA,NA,24,NA,23,7.8,NA,NA,2021-12-19 05:15:00
2021,12,19,4,55,210,5.7,NA,NA,NA,NA,NA,NA,24,NA,23,1.3,NA,NA,2021-12-19 04:55:00
2021,12,19,4,35,210,5.1,NA,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 04:35:00
2021,12,19,4,15,200,6.2,NA,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 04:15:00
2021,12,19,3,55,200,5.1,NA,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 03:55:00
2021,12,19,3,35,200,5.1,NA,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 03:35:00
2021,12,19,3,15,NA,3.1,6.7,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 03:15:00
2021,12,19,2,55,190,4.6,7.2,NA,NA,NA,NA,NA,24,NA,23,5.2,NA,NA,2021-12-19 02:55:00
2021,12,19,2,35,200,5.7,NA,NA,NA,NA,NA,NA,24,NA,23,4.3,NA,NA,2021-12-19 02:35:00
2021,12,19,2,15,210,6.7,NA,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 02:15:00
2021,12,19,1,55,210,7.7,NA,NA,NA,NA,NA,NA,24,NA,23,6.1,NA,NA,2021-12-19 01:55:00
2021,12,19,1,35,210,6.7,NA,NA,NA,NA,NA,NA,24,NA,22,8.7,NA,NA,2021-12-19 01:35:00
