,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
219,2021,12,18,19,15,160.0,4.6,24.0,22.0,7.8,2021-12-18 19:15:00
220,2021,12,18,18,55,150.0,5.7,24.0,22.0,7.8,2021-12-18 18:55:00
221,2021,12,18,18,35,150.0,5.1,24.0,22.0,8.7,2021-12-18 18:35:00
222,2021,12,18,18,15,160.0,6.2,24.0,22.0,7.8,2021-12-18 18:15:00
223,2021,12,18,17,55,160.0,6.2,24.0,22.0,7.0,2021-12-18 17:55:00
224,2021,12,18,17,35,170.0,4.1,24.0,22.0,4.3,2021-12-18 17:35:00
225,2021,12,18,17,15,160.0,5.1,24.0,22.0,4.3,2021-12-18 17:15:00
226,2021,12,18,16,55,150.0,6.2,24.0,22.0,4.3,2021-12-18 16:55:00
227,2021,12,18,16,35,150.0,6.7,24.0,22.0,5.2,2021-12-18 16:35:00
228,2021,12,18,16,15,150.0,6.2,24.0,22.0,6.1,2021-12-18 16:15:00
229,2021,12,18,15,55,150.0,6.2,24.0,22.0,4.3,2021-12-18 15:55:00
230,2021,12,18,15,35,150.0,6.2,24.0,23.0,4.3,2021-12-18 15:35:00
231,2021,12,18,15,15,150.0,5.7,24.0,23.0,3.5,2021-12-18 15:15:00
232,2021,12,18,14,55,160.0,5.7,24.0,23.0,3.5,2021-12-18 14:55:00
233,2021,12,18,14,35,150.0,7.2,24.0,23.0,4.3,2021-12-18 14:35:00
234,2021,12,18,14,15,150.0,6.7,24.0,22.0,5.2,2021-12-18 14:15:00
235,2021,12,18,13,55,160.0,5.1,24.0,22.0,5.2,2021-12-18 13:55:00
236,2021,12,18,13,35,150.0,6.7,23.0,22.0,3.5,2021-12-18 13:35:00
237,2021,12,18,13,15,160.0,5.7,23.0,22.0,3.5,2021-12-18 13:15:00
238,2021,12,18,12,55,170.0,5.7,23.0,22.0,4.3,2021-12-18 12:55:00
239,2021,12,18,12,35,170.0,5.1,23.0,22.0,4.3,2021-12-18 12:35:00
240,2021,12,18,12,15,160.0,5.7,23.0,22.0,4.3,2021-12-18 12:15:00
